# Copyright 2008 Google Inc. All rights reserved.
# This file was machine-generated, do not edit.
# This file is encoded in UTF-8, do not reencode.
# ICU4J version 4.0.0.0
# Generated on 2008-10-01 12:41:27 with com.google.i18n.identifiers.impl.tools.BuildLanguageNameTables by dougfelt
x-bork;x-bork;Bork, bork, bork!
x-elmer;x-elmer;Ewmew Fudd
x-hacker;x-hacker;0|\\/|G |-|4xx0|2 !!!!111
x-pirate;x-pirate;Pirate
ar_XB;ar_XB;Arabic (psbidi)
ar_psbidi;ar_psbidi;Arabic (psbidi)
en_XA;en_XA;English (psaccent)
en_psaccent;en_psaccent;English (psaccent)
en_XC;en_XC;English (cracked)
fi;af;Fins
fr;af;Frans
he;af;Hebreeus
de;af;Duits
fr_CH;af;Frans (Switserland)
fr_CA;af;Frans (Kanada)
nl_BE;af;Nederlands (België)
el;af;Grieks
en;af;Engels
et;af;Estnies
es;af;Spaans
bg;af;Bulgaars
da;af;Deens
cs;af;Tsjeggies
en_AU;af;Engels (Australië)
en_CA;af;Engels (Kanada)
ar;af;Arabies
am;af;Amharies
af;af;Afrikaans
nn;af;Noorweegse Nynorsk
nl;af;Nederlands
ku;af;Koerdies
ko;af;Koreaans
afa;af;Ander Afro-Asiaties
it;af;Italiaans
ja;af;Japannees
ru;af;Russies
got;af;Goties
ro;af;Roemeens
en_US;af;Engels (Verenigde State van Amerika)
es_ES;af;Spaans (Spanje)
grc;af;Antieke Grieks
pt;af;Portugees
en_GB;af;Engels (Groot-Brittanje)
arc;af;Aramees
pt_BR;af;Portugees (Brasilië)
egy;af;Antieke Egipties
de_AT;af;Duits (Oostenryk)
zh;af;Sjinees
de_CH;af;Duits (Switserland)
fy;am;ፍሪስኛ
gd;am;እስኮትስ ጌልክኛ
ga;am;አይሪሽ
fj;am;ፊጂኛ
fi;am;ፊኒሽ
fr;am;ፈረንሳይኛ
fo;am;ፋሮኛ
he;am;ዕብራስጥ
ha;am;ሃውሳኛ
gn;am;ጓራኒኛ
gl;am;ጋለጋኛ
gu;am;ጉጃርቲኛ
dz;am;ድዞንግኻኛ
de;am;ጀርመን
fr_CH;am;ፈረንሳይኛ (ስዊዘርላንድ)
nl_BE;am;ደች (ቤልጄም)
sid;am;ሲዳምኛ
eu;am;ባስክኛ
fa;am;ፐርሲያኛ
el;am;ግሪክኛ
eo;am;ኤስፐራንቶ
en;am;እንግሊዝኛ
et;am;ኤስቶኒአን
es;am;ስፓኒሽ
ca;am;ካታላንኛ
br;am;ብሬቶንኛ
bn;am;በንጋሊኛ
bo;am;ትበትንኛ
bg;am;ቡልጋሪኛ
bh;am;ቢሃሪ
bi;am;ቢስላምኛ
be;am;ቤላራሻኛ
da;am;ዴኒሽ
cy;am;ወልሽ
gez;am;ግዕዝኛ
cs;am;ቼክኛ
co;am;ኮርሲካኛ
en_AU;am;እንግሊዝኛ (አውስትሬሊያ)
az;am;አዜርባይጃንኛ
ay;am;አያማርኛ
ba;am;ባስኪርኛ
as;am;አሳሜዛዊ
ar;am;ዐርቢኛ
am;am;አማርኛ
aa;am;አፋርኛ
ab;am;አብሐዚኛ
no;am;ኖርዌጂያን
oc;am;ኦኪታንኛ
om;am;ኦሮምኛ
or;am;ኦሪያኛ
pa;am;ፓንጃቢኛ
pl;am;ፖሊሽ
lo;am;ላውስኛ
ln;am;ሊንጋላኛ
lv;am;ላትቪያን
lt;am;ሊቱአኒያን
mg;am;ማላጋስኛ
mk;am;ማከዶኒኛ
ml;am;ማላያላምኛ
mi;am;ማዮሪኛ
mn;am;ሞንጎላዊኛ
mo;am;ሞልዳቫዊና
mr;am;ማራዚኛ
mt;am;ማልቲስኛ
ms;am;ማላይኛ
my;am;ቡርማኛ
na;am;ናኡሩ
ne;am;ኔፓሊኛ
nl;am;ደች
jv;am;ጃቫንኛ
ka;am;ጊዮርጊያን
ky;am;ኪርጊዝኛ
ks;am;ካሽሚርኛ
ku;am;ኩርድሽኛ
ko;am;ኮሪያኛ
kk;am;ካዛክኛ
kl;am;ካላሊሱትኛ
km;am;ክመርኛ
kn;am;ካናዳኛ
la;am;ላቲንኛ
hr;am;ክሮሽያንኛ
hu;am;ሀንጋሪኛ
hi;am;ሐንድኛ
id;am;እንዶኒሲኛ
ia;am;ኢንቴርሊንጓ
ie;am;እንተርሊንግወ
hy;am;አርመናዊ
is;am;አይስላንድኛ
it;am;ጣሊያንኛ
iu;am;እኑክቲቱትኛ
ik;am;እኑፒያቅኛ
ja;am;ጃፓንኛ
xh;am;ዞሳኛ
wo;am;ዎሎፍኛ
vi;am;ቪትናምኛ
vo;am;ቮላፑክኛ
uz;am;ኡዝበክኛ
uk;am;ዩክረኒኛ
ug;am;ኡዊግሁርኛ
ur;am;ኡርዱኛ
tt;am;ታታርኛ
tw;am;ትዊኛ
to;am;ቶንጋ
tn;am;ጽዋናዊኛ
tl;am;ታጋሎገኛ
ts;am;ጾንጋኛ
tr;am;ቱርክኛ
tg;am;ታጂኪኛ
te;am;ተሉጉኛ
tk;am;ቱርክመንኛ
ti;am;ትግርኛ
th;am;ታይኛ
ta;am;ታሚልኛ
su;am;ሱዳንኛ
sv;am;ስዊድንኛ
ss;am;ስዋቲኛ
st;am;ሶዞኛ
sw;am;ስዋሂሊኛ
sl;am;ስሎቪኛ
sk;am;ስሎቫክኛ
sn;am;ሾናኛ
sm;am;ሳሞአኛ
so;am;ሱማልኛ
sr;am;ሰርቢኛ
sq;am;ልቤኒኛ
sd;am;ሲንድሂኛ
sh;am;ሰርቢኛ
sg;am;ሳንጎኛ
si;am;ስንሃልኛ
sa;am;ሳንስክሪትኛ
